id;name
1;Михаил Булгаков
2;Федор Достоевский
3;Михаил Лермонтов
4;Харпер Ли
5;Джордж Оруэлл
6;Олдос Хаксли
7;Лев Толстой
8;Александр Пушкин
9;Рей Брэдбери
10;Джон Р. Р. Толкин
11;Пауло Коэлью
12;Иоганн Вольфганг фон Гёте
13;Джейн Остин
14;Антон Чехов
15;Антуан де Сент-Экзюпери
16;Джек Лондон
17;Михаил Шолохов
18;Клайв Стейплз Льюис
19;Шарлотта Бронте
20;Артур Конан Дойл
21;Маргарет Митчелл
22;Льюис Кэрролл
23;Аркадий и Борис Стругацкие
24;Габриэль Гарсиа Маркес
25;Николай Гоголь
26;Борис Пастернак
27;Роберт Стивенсон
28;Фрэнсис Скотт Фицджеральд
29;Александр Грибоедов
30;Эрих Мария Ремарк
31;Алекандр Дюма
32;Иван Тургенев
33;Максим Горький
34;Борис Васильев
35;Михаил Пришвин
36;Дэниел Киз
37;Иван Гончаров
38;Жюль Верн
39;Эрнест Хэмингуэй
